sigma_A_over_omega,K_over_omega,D
0,0,1
0.06060606061,0,0.9981599588
0.1212121212,0,0.992576854
0.1818181818,0,0.9829959833
0.2424242424,0,0.9689498657
0.303030303,0,0.949704222
0.3636363636,0,0.9234616006
0.4242424242,0,0.8917667127
0.4848484848,0,0.853973586
0.5454545455,0,0.8138943642
0.6060606061,0,0.7733130561
0.6666666667,0,0.7336959387
0.7272727273,0,0.6950148892
0.7878787879,0,0.6614434044
0.8484848485,0,0.6274887762
0.9090909091,0,0.596758142
0.9696969697,0,0.5687303361
1.03030303,0,0.542876507
1.090909091,0,0.5181916555
1.151515152,0,0.4948226014
1.212121212,0,0.4735254222
1.272727273,0,0.4540886139
1.333333333,0,0.4347838422
1.393939394,0,0.4170147526
1.454545455,0,0.401340559
1.515151515,0,0.3865998685
1.575757576,0,0.3729403631
1.636363636,0,0.3600086733
1.696969697,0,0.3476666864
1.757575758,0,0.3356737786
1.818181818,0,0.3250196294
1.878787879,0,0.3151199624
1.939393939,0,0.3058836927
2,0,0.2972834313
2.060606061,0,0.2888020501
2.121212121,0,0.2805727031
2.181818182,0,0.2730349887
2.242424242,0,0.2657965599
2.303030303,0,0.2587106661
2.363636364,0,0.2518872427
2.424242424,0,0.2459499232
2.484848485,0,0.2400835514
2.545454545,0,0.234660096
2.606060606,0,0.229347539
2.666666667,0,0.2246237536
2.727272727,0,0.2198658826
2.787878788,0,0.2154387681
2.848484848,0,0.2110886433
2.909090909,0,0.2069723795
2.96969697,0,0.2030757426
3.03030303,0,0.19945464
3.090909091,0,0.1958664933
3.151515152,0,0.1922423497
3.212121212,0,0.1886178466
3.272727273,0,0.1850929037
3.333333333,0,0.1817649974
3.393939394,0,0.1788899222
3.454545455,0,0.1760990611
3.515151515,0,0.1730708887
3.575757576,0,0.1702355133
3.636363636,0,0.1674869556
3.696969697,0,0.1646181588
3.757575758,0,0.1620493692
3.818181818,0,0.1596963643
3.878787879,0,0.1574919876
3.939393939,0,0.155369414
4,0,0.1533266643
4.060606061,0,0.1512300041
4.121212121,0,0.1494293552
4.181818182,0,0.1474438206
4.242424242,0,0.1454308416
4.303030303,0,0.1435834597
4.363636364,0,0.1416039775
4.424242424,0,0.1398612278
4.484848485,0,0.1382526704
4.545454545,0,0.1366034201
4.606060606,0,0.1349940668
4.666666667,0,0.1332995262
4.727272727,0,0.1319215963
4.787878788,0,0.130438524
4.848484848,0,0.1290395482
4.909090909,0,0.1275783121
4.96969697,0,0.1262345386
5.03030303,0,0.1249292038
5.090909091,0,0.1237075732
5.151515152,0,0.1223950351
5.212121212,0,0.1212153272
5.272727273,0,0.1200227668
5.333333333,0,0.1188102623
5.393939394,0,0.1174935116
5.454545455,0,0.1162280525
5.515151515,0,0.1150151242
5.575757576,0,0.1137527876
5.636363636,0,0.1125273222
5.696969697,0,0.1113504038
5.757575758,0,0.1102228485
5.818181818,0,0.1090138049
5.878787879,0,0.1079385792
5.939393939,0,0.1068172903
6,0,0.1057033501
0,0.06060606061,1
0.06060606061,0.06060606061,0.9981730322
0.1212121212,0.06060606061,0.9926863954
0.1818181818,0.06060606061,0.9833485814
0.2424242424,0.06060606061,0.9695115413
0.303030303,0.06060606061,0.9502819558
0.3636363636,0.06060606061,0.9238883231
0.4242424242,0.06060606061,0.8920653014
0.4848484848,0.06060606061,0.8542041924
0.5454545455,0.06060606061,0.8140998473
0.6060606061,0.06060606061,0.7734397195
0.6666666667,0.06060606061,0.7338157185
0.7272727273,0.06060606061,0.6951766222
0.7878787879,0.06060606061,0.6615247258
0.8484848485,0.06060606061,0.6275821745
0.9090909091,0.06060606061,0.596696209
0.9696969697,0.06060606061,0.5687019381
1.03030303,0.06060606061,0.5428704772
1.090909091,0.06060606061,0.5183547036
1.151515152,0.06060606061,0.4947821443
1.212121212,0.06060606061,0.4735271727
1.272727273,0.06060606061,0.4541363073
1.333333333,0.06060606061,0.4348858609
1.393939394,0.06060606061,0.4170221327
1.454545455,0.06060606061,0.4013464805
1.515151515,0.06060606061,0.3865922232
1.575757576,0.06060606061,0.3729557382
1.636363636,0.06060606061,0.359944605
1.696969697,0.06060606061,0.3477290187
1.757575758,0.06060606061,0.3357997721
1.818181818,0.06060606061,0.3250671335
1.878787879,0.06060606061,0.3152103528
1.939393939,0.06060606061,0.3059627169
2,0.06060606061,0.2972937889
2.060606061,0.06060606061,0.2889369164
2.121212121,0.06060606061,0.2806583071
2.181818182,0.06060606061,0.2729800939
2.242424242,0.06060606061,0.2657486526
2.303030303,0.06060606061,0.2586645148
2.363636364,0.06060606061,0.2519705491
2.424242424,0.06060606061,0.2459888709
2.484848485,0.06060606061,0.2401944719
2.545454545,0.06060606061,0.2347174735
2.606060606,0.06060606061,0.2294315962
2.666666667,0.06060606061,0.2245757044
2.727272727,0.06060606061,0.219918883
2.787878788,0.06060606061,0.215368113
2.848484848,0.06060606061,0.2111150692
2.909090909,0.06060606061,0.2070306745
2.96969697,0.06060606061,0.2030635211
3.03030303,0.06060606061,0.1994636517
3.090909091,0.06060606061,0.195867862
3.151515152,0.06060606061,0.1923462734
3.212121212,0.06060606061,0.1886459825
3.272727273,0.06060606061,0.185057003
3.333333333,0.06060606061,0.1818483686
3.393939394,0.06060606061,0.1788648359
3.454545455,0.06060606061,0.1761653882
3.515151515,0.06060606061,0.1731342949
3.575757576,0.06060606061,0.1702183154
3.636363636,0.06060606061,0.1674388023
3.696969697,0.06060606061,0.1646866865
3.757575758,0.06060606061,0.1620454212
3.818181818,0.06060606061,0.1597622856
3.878787879,0.06060606061,0.1575522203
3.939393939,0.06060606061,0.1553350793
4,0.06060606061,0.1532568423
4.060606061,0.06060606061,0.1512217475
4.121212121,0.06060606061,0.1493236696
4.181818182,0.06060606061,0.147391928
4.242424242,0.06060606061,0.1454367132
4.303030303,0.06060606061,0.1434806221
4.363636364,0.06060606061,0.1415799632
4.424242424,0.06060606061,0.1397902131
4.484848485,0.06060606061,0.1382156442
4.545454545,0.06060606061,0.1365435676
4.606060606,0.06060606061,0.1348447345
4.666666667,0.06060606061,0.1333166568
4.727272727,0.06060606061,0.1317985386
4.787878788,0.06060606061,0.1304225879
4.848484848,0.06060606061,0.1289168979
4.909090909,0.06060606061,0.1274899411
4.96969697,0.06060606061,0.1261743165
5.03030303,0.06060606061,0.1249154002
5.090909091,0.06060606061,0.1236084651
5.151515152,0.06060606061,0.122367093
5.212121212,0.06060606061,0.1211176389
5.272727273,0.06060606061,0.1200219069
5.333333333,0.06060606061,0.1186960743
5.393939394,0.06060606061,0.1173999707
5.454545455,0.06060606061,0.1162145434
5.515151515,0.06060606061,0.1149469172
5.575757576,0.06060606061,0.113712463
5.636363636,0.06060606061,0.1124966499
5.696969697,0.06060606061,0.1112708076
5.757575758,0.06060606061,0.1101700397
5.818181818,0.06060606061,0.1089148381
5.878787879,0.06060606061,0.1079002688
5.939393939,0.06060606061,0.1067070709
6,0.06060606061,0.1056328266
0,0.1212121212,1
0.06060606061,0.1212121212,0.9981922027
0.1212121212,0.1212121212,0.992773769
0.1818181818,0.1212121212,0.9836631065
0.2424242424,0.1212121212,0.97050012
0.303030303,0.1212121212,0.9518928349
0.3636363636,0.1212121212,0.9259322149
0.4242424242,0.1212121212,0.8942835323
0.4848484848,0.1212121212,0.8562038011
0.5454545455,0.1212121212,0.8156416364
0.6060606061,0.1212121212,0.7746506517
0.6666666667,0.1212121212,0.7346735727
0.7272727273,0.1212121212,0.6958777163
0.7878787879,0.1212121212,0.6621013298
0.8484848485,0.1212121212,0.6280719935
0.9090909091,0.1212121212,0.597138113
0.9696969697,0.1212121212,0.5691566562
1.03030303,0.1212121212,0.5431728638
1.090909091,0.1212121212,0.5186452082
1.151515152,0.1212121212,0.495001441
1.212121212,0.1212121212,0.4737588278
1.272727273,0.1212121212,0.4542650289
1.333333333,0.1212121212,0.4350164748
1.393939394,0.1212121212,0.4170554821
1.454545455,0.1212121212,0.4014670268
1.515151515,0.1212121212,0.3866716789
1.575757576,0.1212121212,0.3730719359
1.636363636,0.1212121212,0.3600243066
1.696969697,0.1212121212,0.3479214246
1.757575758,0.1212121212,0.3359418306
1.818181818,0.1212121212,0.3250059645
1.878787879,0.1212121212,0.315238941
1.939393939,0.1212121212,0.3058824384
2,0.1212121212,0.2972809797
2.060606061,0.1212121212,0.2889806087
2.121212121,0.1212121212,0.2806815671
2.181818182,0.1212121212,0.27297236
2.242424242,0.1212121212,0.2657037245
2.303030303,0.1212121212,0.2586910622
2.363636364,0.1212121212,0.2520380995
2.424242424,0.1212121212,0.2461957927
2.484848485,0.1212121212,0.2402173591
2.545454545,0.1212121212,0.2347597969
2.606060606,0.1212121212,0.2294290409
2.666666667,0.1212121212,0.224627292
2.727272727,0.1212121212,0.220009601
2.787878788,0.1212121212,0.2153953465
2.848484848,0.1212121212,0.2112404434
2.909090909,0.1212121212,0.2072272068
2.96969697,0.1212121212,0.2031393508
3.03030303,0.1212121212,0.1995163337
3.090909091,0.1212121212,0.1959069183
3.151515152,0.1212121212,0.1923159391
3.212121212,0.1212121212,0.1887316562
3.272727273,0.1212121212,0.1852154333
3.333333333,0.1212121212,0.1819593684
3.393939394,0.1212121212,0.1789106721
3.454545455,0.1212121212,0.1762419552
3.515151515,0.1212121212,0.1731957045
3.575757576,0.1212121212,0.1702805904
3.636363636,0.1212121212,0.1674237033
3.696969697,0.1212121212,0.1646902257
3.757575758,0.1212121212,0.1620272389
3.818181818,0.1212121212,0.1597889856
3.878787879,0.1212121212,0.1575535943
3.939393939,0.1212121212,0.1553407525
4,0.1212121212,0.1532275221
4.060606061,0.1212121212,0.1512155398
4.121212121,0.1212121212,0.1492792263
4.181818182,0.1212121212,0.1473383571
4.242424242,0.1212121212,0.1453752266
4.303030303,0.1212121212,0.1434942716
4.363636364,0.1212121212,0.1416024265
4.424242424,0.1212121212,0.1397699037
4.484848485,0.1212121212,0.1381828347
4.545454545,0.1212121212,0.1365070995
4.606060606,0.1212121212,0.1348527719
4.666666667,0.1212121212,0.1332024816
4.727272727,0.1212121212,0.1317699221
4.787878788,0.1212121212,0.1303893388
4.848484848,0.1212121212,0.1289402722
4.909090909,0.1212121212,0.1275396397
4.96969697,0.1212121212,0.1261938907
5.03030303,0.1212121212,0.1249637262
5.090909091,0.1212121212,0.1235886401
5.151515152,0.1212121212,0.1223624407
5.212121212,0.1212121212,0.121109649
5.272727273,0.1212121212,0.1198440501
5.333333333,0.1212121212,0.118601605
5.393939394,0.1212121212,0.1173026471
5.454545455,0.1212121212,0.1160674153
5.515151515,0.1212121212,0.1148881955
5.575757576,0.1212121212,0.1136652378
5.636363636,0.1212121212,0.1124453397
5.696969697,0.1212121212,0.1112827528
5.757575758,0.1212121212,0.1100134615
5.818181818,0.1212121212,0.108888754
5.878787879,0.1212121212,0.1077515687
5.939393939,0.1212121212,0.1066377704
6,0.1212121212,0.1056298178
0,0.1818181818,1
0.06060606061,0.1818181818,0.998224096
0.1212121212,0.1818181818,0.9929027408
0.1818181818,0.1818181818,0.9839959426
0.2424242424,0.1818181818,0.9712980208
0.303030303,0.1818181818,0.9536965137
0.3636363636,0.1818181818,0.9288408236
0.4242424242,0.1818181818,0.8978587324
0.4848484848,0.1818181818,0.8602654293
0.5454545455,0.1818181818,0.8197541667
0.6060606061,0.1818181818,0.778323656
0.6666666667,0.1818181818,0.7375785349
0.7272727273,0.1818181818,0.6980290437
0.7878787879,0.1818181818,0.6639587775
0.8484848485,0.1818181818,0.6295315523
0.9090909091,0.1818181818,0.5981848141
0.9696969697,0.1818181818,0.569910511
1.03030303,0.1818181818,0.5437533303
1.090909091,0.1818181818,0.5191675195
1.151515152,0.1818181818,0.4954804049
1.212121212,0.1818181818,0.4742847969
1.272727273,0.1818181818,0.4545388331
1.333333333,0.1818181818,0.4352342113
1.393939394,0.1818181818,0.4172707915
1.454545455,0.1818181818,0.4017157194
1.515151515,0.1818181818,0.3868703774
1.575757576,0.1818181818,0.373230471
1.636363636,0.1818181818,0.360323508
1.696969697,0.1818181818,0.3480108226
1.757575758,0.1818181818,0.3361866151
1.818181818,0.1818181818,0.3250981695
1.878787879,0.1818181818,0.3154631578
1.939393939,0.1818181818,0.3059746115
2,0.1818181818,0.297385638
2.060606061,0.1818181818,0.2891039521
2.121212121,0.1818181818,0.2807911436
2.181818182,0.1818181818,0.2730318116
2.242424242,0.1818181818,0.2657692143
2.303030303,0.1818181818,0.2588189147
2.363636364,0.1818181818,0.2521350037
2.424242424,0.1818181818,0.2462239334
2.484848485,0.1818181818,0.2403010394
2.545454545,0.1818181818,0.2348110826
2.606060606,0.1818181818,0.2296440045
2.666666667,0.1818181818,0.2246462274
2.727272727,0.1818181818,0.2200822454
2.787878788,0.1818181818,0.2154552111
2.848484848,0.1818181818,0.2113462091
2.909090909,0.1818181818,0.2072397124
2.96969697,0.1818181818,0.2032523968
3.03030303,0.1818181818,0.1994954346
3.090909091,0.1818181818,0.195898201
3.151515152,0.1818181818,0.1923502996
3.212121212,0.1818181818,0.1887691814
3.272727273,0.1818181818,0.1852781317
3.333333333,0.1818181818,0.182044367
3.393939394,0.1818181818,0.178933432
3.454545455,0.1818181818,0.1761874168
3.515151515,0.1818181818,0.1732116174
3.575757576,0.1818181818,0.1702644138
3.636363636,0.1818181818,0.1674644897
3.696969697,0.1818181818,0.1648187045
3.757575758,0.1818181818,0.1620898745
3.818181818,0.1818181818,0.1599096869
3.878787879,0.1818181818,0.1576179161
3.939393939,0.1818181818,0.1553107768
4,0.1818181818,0.1533051518
4.060606061,0.1818181818,0.151178347
4.121212121,0.1818181818,0.1492169785
4.181818182,0.1818181818,0.1473715141
4.242424242,0.1818181818,0.1454019184
4.303030303,0.1818181818,0.1434647201
4.363636364,0.1818181818,0.1416499348
4.424242424,0.1818181818,0.1397594319
4.484848485,0.1818181818,0.1381127794
4.545454545,0.1818181818,0.1364002626
4.606060606,0.1818181818,0.1348369584
4.666666667,0.1818181818,0.1331654976
4.727272727,0.1818181818,0.1317158148
4.787878788,0.1818181818,0.1303356598
4.848484848,0.1818181818,0.1289059359
4.909090909,0.1818181818,0.1275660236
4.96969697,0.1818181818,0.1261414367
5.03030303,0.1818181818,0.1249049625
5.090909091,0.1818181818,0.1235778568
5.151515152,0.1818181818,0.1222225617
5.212121212,0.1818181818,0.1210684391
5.272727273,0.1818181818,0.1197543899
5.333333333,0.1818181818,0.1184645122
5.393939394,0.1818181818,0.1172510227
5.454545455,0.1818181818,0.1161034738
5.515151515,0.1818181818,0.1148515341
5.575757576,0.1818181818,0.1136143332
5.636363636,0.1818181818,0.1123186809
5.696969697,0.1818181818,0.1111998692
5.757575758,0.1818181818,0.1099891443
5.818181818,0.1818181818,0.1088571754
5.878787879,0.1818181818,0.1077076086
5.939393939,0.1818181818,0.1066682089
6,0.1818181818,0.1055694198
0,0.2424242424,1
0.06060606061,0.2424242424,0.9982670175
0.1212121212,0.2424242424,0.9930758249
0.1818181818,0.2424242424,0.9844018245
0.2424242424,0.2424242424,0.972179892
0.303030303,0.2424242424,0.9554831272
0.3636363636,0.2424242424,0.9321055267
0.4242424242,0.2424242424,0.9021585728
0.4848484848,0.2424242424,0.865612889
0.5454545455,0.2424242424,0.8254126408
0.6060606061,0.2424242424,0.7838152985
0.6666666667,0.2424242424,0.7426872487
0.7272727273,0.2424242424,0.702414994
0.7878787879,0.2424242424,0.667579077
0.8484848485,0.2424242424,0.6325621454
0.9090909091,0.2424242424,0.6008421477
0.9696969697,0.2424242424,0.5720733789
1.03030303,0.2424242424,0.5454495294
1.090909091,0.2424242424,0.5204738181
1.151515152,0.2424242424,0.4965724827
1.212121212,0.2424242424,0.4752473073
1.272727273,0.2424242424,0.4552547398
1.333333333,0.2424242424,0.4359432721
1.393939394,0.2424242424,0.4178873939
1.454545455,0.2424242424,0.4018794873
1.515151515,0.2424242424,0.3871183829
1.575757576,0.2424242424,0.373647219
1.636363636,0.2424242424,0.3606004771
1.696969697,0.2424242424,0.348273331
1.757575758,0.2424242424,0.336523733
1.818181818,0.2424242424,0.3253366473
1.878787879,0.2424242424,0.3155207518
1.939393939,0.2424242424,0.3061589313
2,0.2424242424,0.2975631507
2.060606061,0.2424242424,0.2891646345
2.121212121,0.2424242424,0.2809736726
2.181818182,0.2424242424,0.273104911
2.242424242,0.2424242424,0.2659093882
2.303030303,0.2424242424,0.2589116349
2.363636364,0.2424242424,0.2522185935
2.424242424,0.2424242424,0.2463819377
2.484848485,0.2424242424,0.2404617555
2.545454545,0.2424242424,0.2348054109
2.606060606,0.2424242424,0.2297185588
2.666666667,0.2424242424,0.2247737665
2.727272727,0.2424242424,0.2200495875
2.787878788,0.2424242424,0.2156449041
2.848484848,0.2424242424,0.2114485849
2.909090909,0.2424242424,0.207351934
2.96969697,0.2424242424,0.2033344035
3.03030303,0.2424242424,0.199509707
3.090909091,0.2424242424,0.1958359068
3.151515152,0.2424242424,0.1923648912
3.212121212,0.2424242424,0.1890049243
3.272727273,0.2424242424,0.1853381264
3.333333333,0.2424242424,0.1822484299
3.393939394,0.2424242424,0.1791330155
3.454545455,0.2424242424,0.1762355899
3.515151515,0.2424242424,0.1733208916
3.575757576,0.2424242424,0.1703208133
3.636363636,0.2424242424,0.1675256357
3.696969697,0.2424242424,0.1648495579
3.757575758,0.2424242424,0.1622633924
3.818181818,0.2424242424,0.1598926445
3.878787879,0.2424242424,0.1575932336
3.939393939,0.2424242424,0.1552751264
4,0.2424242424,0.1533631291
