sigma_A_over_omega,K_over_omega,positive_fraction,negative_fraction
0,0,1,0
0.06060606061,0,1,0
0.1212121212,0,1,0
0.1818181818,0,1,0
0.2424242424,0,1,0
0.303030303,0,0.9992,0
0.3636363636,0,0.9936,0
0.4242424242,0,0.9836,0
0.4848484848,0,0.9612,0
0.5454545455,0,0.9348,0
0.6060606061,0,0.9024,0
0.6666666667,0,0.8664,0
0.7272727273,0,0.8242,0
0.7878787879,0,0.797,0
0.8484848485,0,0.7596,0
0.9090909091,0,0.7262,0
0.9696969697,0,0.6956,0
1.03030303,0,0.6692,0
1.090909091,0,0.6424,0
1.151515152,0,0.6148,0
1.212121212,0,0.591,0
1.272727273,0,0.569,0
1.333333333,0,0.5466,0
1.393939394,0,0.5226,0
1.454545455,0,0.5032,0
1.515151515,0,0.486,0
1.575757576,0,0.4694,0
1.636363636,0,0.455,0
1.696969697,0,0.4402,0
1.757575758,0,0.4234,0
1.818181818,0,0.41,0
1.878787879,0,0.3974,0
1.939393939,0,0.3852,0
2,0,0.3762,0
2.060606061,0,0.3658,0
2.121212121,0,0.3554,0
2.181818182,0,0.346,0
2.242424242,0,0.337,0
2.303030303,0,0.3276,0
2.363636364,0,0.318,0
2.424242424,0,0.3106,0
2.484848485,0,0.3032,0
2.545454545,0,0.2958,0
2.606060606,0,0.288,0
2.666666667,0,0.2826,0
2.727272727,0,0.2766,0
2.787878788,0,0.2708,0
2.848484848,0,0.2656,0
2.909090909,0,0.2598,0
2.96969697,0,0.2542,0
3.03030303,0,0.2504,0
3.090909091,0,0.2474,0
3.151515152,0,0.2438,0
3.212121212,0,0.239,0
3.272727273,0,0.233,0
3.333333333,0,0.2284,0
3.393939394,0,0.2246,0
3.454545455,0,0.2224,0
3.515151515,0,0.2182,0
3.575757576,0,0.214,0
3.636363636,0,0.212,0
3.696969697,0,0.2074,0
3.757575758,0,0.203,0
3.818181818,0,0.1994,0
3.878787879,0,0.1966,0
3.939393939,0,0.1934,0
4,0,0.1908,0
4.060606061,0,0.1892,0
4.121212121,0,0.1868,0
4.181818182,0,0.1848,0
4.242424242,0,0.1824,0
4.303030303,0,0.1802,0
4.363636364,0,0.1768,0
4.424242424,0,0.1742,0
4.484848485,0,0.1724,0
4.545454545,0,0.171,0
4.606060606,0,0.169,0
4.666666667,0,0.1658,0
4.727272727,0,0.1646,0
4.787878788,0,0.1626,0
4.848484848,0,0.1614,0
4.909090909,0,0.159,0
4.96969697,0,0.1572,0
5.03030303,0,0.156,0
5.090909091,0,0.1548,0
5.151515152,0,0.1532,0
5.212121212,0,0.1518,0
5.272727273,0,0.1516,0
5.333333333,0,0.1502,0
5.393939394,0,0.149,0
5.454545455,0,0.1474,0
5.515151515,0,0.146,0
5.575757576,0,0.1448,0
5.636363636,0,0.143,0
5.696969697,0,0.1412,0
5.757575758,0,0.14,0
5.818181818,0,0.138,0
5.878787879,0,0.137,0
5.939393939,0,0.1354,0
6,0,0.134,0
0,0.06060606061,1,0
0.06060606061,0.06060606061,1,0
0.1212121212,0.06060606061,1,0
0.1818181818,0.06060606061,1,0
0.2424242424,0.06060606061,1,0
0.303030303,0.06060606061,0.9994,0
0.3636363636,0.06060606061,0.9936,0
0.4242424242,0.06060606061,0.9836,0
0.4848484848,0.06060606061,0.9612,0
0.5454545455,0.06060606061,0.9344,0
0.6060606061,0.06060606061,0.902,0
0.6666666667,0.06060606061,0.8666,0
0.7272727273,0.06060606061,0.824,0
0.7878787879,0.06060606061,0.7966,0
0.8484848485,0.06060606061,0.76,0
0.9090909091,0.06060606061,0.7266,0
0.9696969697,0.06060606061,0.6956,0
1.03030303,0.06060606061,0.669,0
1.090909091,0.06060606061,0.6422,0
