dataset,r,D,D_std,D_sem
analytics,0,1,,
analytics,0.01001669449,0.9999498291,,
analytics,0.02003338898,0.9997992712,,
analytics,0.03005008347,0.9995481898,,
analytics,0.04006677796,0.9991963563,,
analytics,0.05008347245,0.9987434485,,
analytics,0.06010016694,0.9981890475,,
analytics,0.07011686144,0.997532635,,
analytics,0.08013355593,0.9967735883,,
analytics,0.09015025042,0.9959111756,,
analytics,0.1001669449,0.9949445492,,
analytics,0.1101836394,0.9938727373,,
analytics,0.1202003339,0.9926946345,,
analytics,0.1302170284,0.9914089899,,
analytics,0.1402337229,0.990014392,,
analytics,0.1502504174,0.988509251,,
analytics,0.1602671119,0.9868917744,,
analytics,0.1702838063,0.985159937,,
analytics,0.1803005008,0.9833114373,,
analytics,0.1903171953,0.9813436387,,
analytics,0.2003338898,0.9792534891,,
analytics,0.2103505843,0.9770374251,,
analytics,0.2203672788,0.9746912752,,
analytics,0.2303839733,0.9722101895,,
analytics,0.2404006678,0.9695886266,,
analytics,0.2504173623,0.9668204219,,
analytics,0.2604340568,0.9638989483,,
analytics,0.2704507513,0.96081736,,
analytics,0.2804674457,0.9575688971,,
analytics,0.2904841402,0.9541472203,,
analytics,0.3005008347,0.9505467406,,
analytics,0.3105175292,0.9467629148,,
analytics,0.3205342237,0.942792486,,
analytics,0.3305509182,0.938633655,,
analytics,0.3405676127,0.9342861794,,
analytics,0.3505843072,0.9297514026,,
analytics,0.3606010017,0.9250322201,,
analytics,0.3706176962,0.9201329956,,
analytics,0.3806343907,0.9150594364,,
analytics,0.3906510851,0.9098184418,,
analytics,0.4006677796,0.904417935,,
analytics,0.4106844741,0.8988666872,,
analytics,0.4207011686,0.8931741429,,
analytics,0.4307178631,0.8873502504,,
analytics,0.4407345576,0.8814053042,,
analytics,0.4507512521,0.8753498004,,
analytics,0.4607679466,0.8691943069,,
analytics,0.4707846411,0.8629493507,,
analytics,0.4808013356,0.8566253199,,
analytics,0.4908180301,0.8502323821,,
analytics,0.5008347245,0.843780417,,
analytics,0.510851419,0.8372789623,,
analytics,0.5208681135,0.8307371716,,
analytics,0.530884808,0.8241637835,,
analytics,0.5409015025,0.8175670997,,
analytics,0.550918197,0.8109549715,,
analytics,0.5609348915,0.8043347928,,
analytics,0.570951586,0.7977134996,,
analytics,0.5809682805,0.791097574,,
analytics,0.590984975,0.7844930517,,
analytics,0.6010016694,0.7779055337,,
analytics,0.6110183639,0.7713401995,,
analytics,0.6210350584,0.7648018226,,
analytics,0.6310517529,0.7582947872,,
analytics,0.6410684474,0.7518231062,,
analytics,0.6510851419,0.745390439,,
analytics,0.6611018364,0.7390001107,,
analytics,0.6711185309,0.7326551302,,
analytics,0.6811352254,0.7263582086,,
analytics,0.6911519199,0.7201117776,,
analytics,0.7011686144,0.7139180067,,
analytics,0.7111853088,0.7077788207,,
analytics,0.7212020033,0.7016959156,,
analytics,0.7312186978,0.6956707747,,
analytics,0.7412353923,0.6897046834,,
analytics,0.7512520868,0.6837987437,,
analytics,0.7612687813,0.6779538876,,
analytics,0.7712854758,0.6721708899,,
analytics,0.7813021703,0.6664503804,,
analytics,0.7913188648,0.6607928552,,
analytics,0.8013355593,0.6551986875,,
analytics,0.8113522538,0.6496681372,,
analytics,0.8213689482,0.644201361,,
analytics,0.8313856427,0.6387984205,,
analytics,0.8414023372,0.6334592909,,
analytics,0.8514190317,0.628183868,,
analytics,0.8614357262,0.6229719761,,
analytics,0.8714524207,0.6178233739,,
analytics,0.8814691152,0.6127377609,,
analytics,0.8914858097,0.6077147833,,
analytics,0.9015025042,0.6027540388,,
analytics,0.9115191987,0.5978550819,,
analytics,0.9215358932,0.5930174283,,
analytics,0.9315525876,0.5882405589,,
analytics,0.9415692821,0.5835239238,,
analytics,0.9515859766,0.5788669461,,
analytics,0.9616026711,0.5742690247,,
analytics,0.9716193656,0.5697295375,,
analytics,0.9816360601,0.5652478445,,
analytics,0.9916527546,0.5608232899,,
analytics,1.001669449,0.5564552047,,
analytics,1.011686144,0.5521429088,,
analytics,1.021702838,0.5478857131,,
analytics,1.031719533,0.5436829212,,
analytics,1.041736227,0.5395338308,,
analytics,1.051752922,0.5354377357,,
analytics,1.061769616,0.531393927,,
analytics,1.071786311,0.5274016942,,
analytics,1.081803005,0.5234603265,,
analytics,1.091819699,0.5195691138,,
analytics,1.101836394,0.5157273476,,
analytics,1.111853088,0.5119343222,,
analytics,1.121869783,0.5081893348,,
analytics,1.131886477,0.5044916868,,
analytics,1.141903172,0.5008406841,,
analytics,1.151919866,0.497235638,,
analytics,1.161936561,0.4936758653,,
analytics,1.171953255,0.4901606889,,
