N,r,D_low_mean,D_low_std,D_low_sem,D_high_mean,D_high_std,D_high_sem,Delta_mean,Delta_std,Delta_sem,trials,omega,T,dt,late_fraction,K_min,K_max,n_k,low_kappa_min,low_kappa_max,high_kappa_min,high_kappa_max
20,0.5,0.8624398443003912,0.04620301842719404,0.006534093528231184,0.9908230971371796,0.008662571141315722,0.0012250725593070475,0.1283832528367886,0.04162514459134427,0.005886684401682015,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
20,1.0,0.5651936175869325,0.09051460646946881,0.012800698406198628,0.9615800193948345,0.035093449779077183,0.004962963262803005,0.39638640180790213,0.08083891477388741,0.011432348964075434,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
20,1.5,0.4088200047257294,0.09209552120240742,0.01302427351182635,0.8986115477340745,0.1012106557203472,0.014313348197638907,0.48979154300834504,0.1036555214346829,0.014659104422778362,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
20,2.0,0.31129612820085917,0.08710136432977467,0.012317993073636745,0.7770843182130824,0.21444572469657555,0.03032720522588241,0.46578819001222316,0.19201826637124772,0.02715548365255881,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
20,2.5,0.25666234231814733,0.07709341580157186,0.01090265541962512,0.5980345845461799,0.30533794193964714,0.043181305859813765,0.34137224222803264,0.2797356797938701,0.03956059922441484,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
20,3.0,0.21700749738120328,0.07629296597113756,0.010789454719005177,0.39265434482455774,0.32112499509193476,0.04541393232760077,0.1756468474433545,0.2983621035812099,0.042194773338271326,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
20,3.5,0.18952532215075585,0.0724528607608058,0.0102463818320661,0.22251350099265832,0.26476946717081823,0.03744405713752691,0.03298817884190254,0.246660225323659,0.034883023595072206,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
20,4.0,0.16525094613120492,0.06931811806401969,0.009803062268431608,0.10389172150882695,0.18565049190906127,0.0262549443519031,-0.06135922462237798,0.17523586447340253,0.024782093615245946,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
20,4.5,0.14751260483016476,0.06804809946734179,0.009623454516042814,0.033843688506695016,0.09536623465233608,0.013486822243778871,-0.11366891632346976,0.10104588404189058,0.014290045963402075,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
20,5.0,0.13562567964070532,0.0669085533266782,0.009462298355335177,0.004855770085304687,0.02665438930897356,0.0037694998857522835,-0.13076990955540063,0.06954700868734727,0.009835432290812596,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
20,5.5,0.12426273992958631,0.0634296146140886,0.008970302124334277,0.0010824798704127069,0.007654288568667599,0.0010824798704127062,-0.12318026005917361,0.06304453228253412,0.008915843258742817,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
20,6.0,0.11452486139097307,0.061651269735122534,0.008718806179693221,0.0017137543512792278,0.010412340461752403,0.0014725273097056383,-0.11281110703969384,0.06194176851643182,0.008759888911331266,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
40,0.5,0.8463947656333835,0.034822193756189626,0.004924601868158708,0.9926154432476211,0.0037854841550953714,0.0005353483032284331,0.14622067761423757,0.03473694211326228,0.004912545465194464,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
40,1.0,0.5504797474771034,0.07246168252596868,0.010247629418059841,0.9669069971762246,0.015612744999777519,0.0022079755724558094,0.4164272496991209,0.06994682310012278,0.009891974587310533,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
40,1.5,0.3906702857599262,0.0768890885165692,0.010873759177863755,0.9133775988012974,0.03713728886696693,0.0052520057585431984,0.5227073130413712,0.07398325179890147,0.010462811808247013,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
40,2.0,0.3016866892722041,0.07313267696698238,0.010342522361935695,0.8122782094567874,0.07906295016053999,0.011181189639826372,0.5105915201845832,0.08542476525656598,0.012080886158837357,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
40,2.5,0.24872510842942114,0.06504100050819539,0.009198186502900529,0.6257347164379056,0.1783691386087968,0.02522520549293669,0.37700960800848465,0.1682475033450804,0.023793790106602538,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
40,3.0,0.20888506376306723,0.061303669719110984,0.008669648114000757,0.33823809083011247,0.28206538954349814,0.039890069936846524,0.12935302706704516,0.26678013383333227,0.03772840834388079,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
40,3.5,0.18098294132761603,0.056678615685681624,0.008015566699922339,0.15416639468552615,0.21187352271308318,0.029963440932860623,-0.026816546642089895,0.20893391799789268,0.02954771804723679,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
40,4.0,0.16064475099577508,0.05058451214595516,0.007153730312283634,0.04009111539034328,0.10942553377461368,0.015475107393397384,-0.1205536356054318,0.12194685918830017,0.01724589021528962,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
40,4.5,0.14351771127850518,0.0465719730550842,0.006586271592097442,0.009195301372847145,0.04385403836385766,0.006201897581899751,-0.13432240990565802,0.06833810600777948,0.009664467634309202,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
40,5.0,0.12959120013657002,0.04448907226219014,0.006291704937058597,0.0,0.0,0.0,-0.12959120013657002,0.04448907226219014,0.006291704937058597,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
40,5.5,0.11727085440378278,0.04143792935892227,0.005860208169604613,0.0,0.0,0.0,-0.11727085440378278,0.04143792935892227,0.005860208169604613,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
40,6.0,0.10760318276822811,0.03819120453853288,0.005401051942175809,2.2938618772078673e-05,0.00016220010241878917,2.293855846589567e-05,-0.10758024414945605,0.03819502125549136,0.005401591707464452,50,0.5,1000.0,0.01,0.3,0.0,6.0,100,0.0,0.5,5.5,6.0
