sigma_A_over_sigma_omega,K_over_sigma_omega,mean_abs_drift_over_sigma_omega,positive_fraction,negative_fraction
0,0,0.8036385859,0.4896,0.5098
0.06060606061,0,0.7982470541,0.4698,0.4916
0.1212121212,0,0.7862221505,0.4474,0.4722
0.1818181818,0,0.7701045557,0.4302,0.4526
0.2424242424,0,0.7509908301,0.411,0.435
0.303030303,0,0.7295336803,0.392,0.4182
0.3636363636,0,0.7074215796,0.3788,0.4016
0.4242424242,0,0.6839568815,0.3612,0.3838
0.4848484848,0,0.6602295481,0.345,0.3704
0.5454545455,0,0.6370143529,0.3336,0.3546
0.6060606061,0,0.6129819069,0.318,0.3408
0.6666666667,0,0.5902625739,0.3046,0.3232
0.7272727273,0,0.5681688967,0.293,0.3094
0.7878787879,0,0.5462606752,0.2818,0.2966
0.8484848485,0,0.5259055801,0.269,0.281
0.9090909091,0,0.5075209858,0.2584,0.2714
0.9696969697,0,0.4898561645,0.2484,0.2624
1.03030303,0,0.4722438315,0.2418,0.2496
1.090909091,0,0.4558461553,0.2326,0.2412
1.151515152,0,0.4402493363,0.2254,0.2342
1.212121212,0,0.4246356835,0.216,0.225
1.272727273,0,0.4103998467,0.2088,0.2166
1.333333333,0,0.3964315257,0.2028,0.2086
1.393939394,0,0.3824842518,0.1948,0.2016
1.454545455,0,0.3692944792,0.1886,0.1926
1.515151515,0,0.3574759119,0.1824,0.1856
1.575757576,0,0.3462406247,0.1768,0.1794
1.636363636,0,0.3357723803,0.1712,0.1726
1.696969697,0,0.3263304117,0.1672,0.1672
1.757575758,0,0.3167764167,0.1628,0.1612
1.818181818,0,0.3077704618,0.159,0.155
1.878787879,0,0.2993681532,0.1544,0.151
1.939393939,0,0.2913838501,0.1506,0.1466
2,0,0.2840645631,0.1472,0.1438
2.060606061,0,0.2765893226,0.1438,0.14
2.121212121,0,0.2696419093,0.1408,0.138
2.181818182,0,0.2626228299,0.1374,0.1342
2.242424242,0,0.2559769065,0.1332,0.1298
2.303030303,0,0.2499515344,0.1294,0.1272
2.363636364,0,0.2441685272,0.1262,0.1236
2.424242424,0,0.2388377779,0.124,0.1208
2.484848485,0,0.2336193569,0.122,0.1172
2.545454545,0,0.228803903,0.1204,0.115
2.606060606,0,0.2239422942,0.1182,0.1122
2.666666667,0,0.2192358527,0.1162,0.1088
2.727272727,0,0.214704047,0.1128,0.1072
2.787878788,0,0.2106490637,0.1108,0.1058
2.848484848,0,0.2064215201,0.1086,0.104
2.909090909,0,0.2024912164,0.1076,0.1018
2.96969697,0,0.1982959604,0.1054,0.0988
3.03030303,0,0.1942774902,0.1032,0.0968
3.090909091,0,0.1905130864,0.102,0.0942
3.151515152,0,0.187075774,0.1004,0.0926
3.212121212,0,0.1837296882,0.0988,0.0908
3.272727273,0,0.1806809096,0.0984,0.0894
3.333333333,0,0.1776032421,0.0968,0.0874
3.393939394,0,0.1745866294,0.0952,0.086
3.454545455,0,0.1715723589,0.094,0.0854
3.515151515,0,0.1684082504,0.0924,0.0836
3.575757576,0,0.1653281723,0.0898,0.0818
3.636363636,0,0.1625158558,0.0872,0.0806
3.696969697,0,0.1599818777,0.0862,0.0796
3.757575758,0,0.1575169663,0.0848,0.0786
3.818181818,0,0.1550234039,0.0838,0.0772
3.878787879,0,0.1528729249,0.0834,0.0756
3.939393939,0,0.1505891588,0.0826,0.075
4,0,0.1483404779,0.0822,0.0738
4.060606061,0,0.1461237916,0.0808,0.0724
4.121212121,0,0.1439721434,0.0794,0.0712
4.181818182,0,0.1418314743,0.0774,0.0704
4.242424242,0,0.1398507042,0.0762,0.0696
4.303030303,0,0.1378639836,0.075,0.0688
4.363636364,0,0.1357585332,0.0732,0.0682
4.424242424,0,0.1337841976,0.0718,0.0666
4.484848485,0,0.1320184396,0.0706,0.0654
4.545454545,0,0.1303697538,0.0698,0.0642
4.606060606,0,0.1288480946,0.0692,0.0634
4.666666667,0,0.1272992674,0.0686,0.063
